address,agent,baths_full,baths_half,bedrooms,broker,city,garage,lot_size,photos,price,property_type,sqft,zip_code
2809 Kolby Ct,1237791,3,1,5,1295017,Bloomington,2,-1.0,24,254900,Single Family Home,3515,61704
1403 Winterberry Cir,1345180,3,1,5,-1,Bloomington,3,-1.0,16,349900,Single Family Home,3871,61705
1411 Oakbrook Dr Apt A,1194290,2,0,3,1571726,Bloomington,2,-1.0,7,124900,Condo/Townhome/Row Home/Co-Op,2752,61704
601 McGregor St,7995,1,0,2,3054550,Bloomington,-1,-1.0,5,45000,Single Family Home,948,61701
47 Parkshores Dr,692040,2,0,2,1295017,Bloomington,2,-1.0,30,142900,Single Family Home,1512,61701
1313 W Chestnut St,1200611,3,0,6,1571726,Bloomington,2,-1.0,30,99900,Single Family Home,3963,61701
9245 Hardesty Run,1200611,3,1,3,1571726,Bloomington,3,-1.0,30,254900,Single Family Home,3450,61705
1 Northcrest Ct,744586,4,1,3,3054550,Bloomington,2,-1.0,30,389900,Single Family Home,4722,61701
702 E Monroe St,692040,1,0,3,1295017,Bloomington,1,-1.0,25,107900,Single Family Home,2496,61701
1301 Red Abbey Ave,1231308,2,1,4,1295017,Bloomington,3,-1.0,25,275000,Single Family Home,3086,61705
102 Meadow Ridge Dr,2259541,3,0,2,1571726,Bloomington,2,-1.0,24,159000,Single Family Home,1656,61704
3 Ross Dr Apt 1,159571,2,1,2,1571726,Bloomington,2,-1.0,23,109900,Condo/Townhome/Row Home/Co-Op,1679,61701
809 E Locust St,2046247,1,0,3,712753,Bloomington,1,-1.0,14,92500,Single Family Home,1042,61701
1102 Lockenvitz Ln Apt 4,21881,2,1,3,1571726,Bloomington,-1,-1.0,14,124900,Condo/Townhome/Row Home/Co-Op,2280,61704
1913 Tracy Dr Apt 1A,1200611,1,0,1,1571726,Bloomington,1,-1.0,6,29900,Condo/Townhome/Row Home/Co-Op,658,61704
3112 Fiona Way,523674,4,1,6,712753,Bloomington,3,-1.0,30,409000,Single Family Home,5224,61704
308 Riley Dr Unit B,430485,3,0,4,3054550,Bloomington,2,-1.0,30,132500,Condo/Townhome/Row Home/Co-Op,3786,61701
7 Callahan Ct,523649,3,1,5,1295017,Bloomington,3,-1.0,30,319900,Single Family Home,3243,61705
5015 Francesco Ln,1501366,2,2,5,3054550,Bloomington,3,-1.0,30,329900,Single Family Home,3626,61705
19403 Briar Dr,1855850,4,2,5,1280142,Bloomington,4,43560.0,30,550000,Single Family Home,6505,61705
1111 W Olive St,1501366,2,0,3,3054550,Bloomington,2,-1.0,30,99500,Single Family Home,2154,61701
9402 Polaris Dr,2047335,2,1,3,712753,Bloomington,2,24829.199999999997,29,179900,Single Family Home,2794,61705
49 Dry Sage Cir,523674,2,1,3,712753,Bloomington,2,-1.0,21,254500,Single Family Home,3238,61705
510 W Kelsey St,7995,1,0,2,3054550,Bloomington,-1,-1.0,30,69000,Single Family Home,1078,61701
1613 Myra Ln,182757,3,0,4,1571726,Bloomington,3,-1.0,30,333000,Single Family Home,3712,61704
3903 Rave Rd,192211,3,1,5,1280142,Bloomington,3,-1.0,30,325000,Single Family Home,3677,61705
1606 Arrowhead Dr,7995,1,0,3,3054550,Bloomington,1,-1.0,30,95000,Single Family Home,891,61704
4115 Pump House Ln,192211,2,1,3,1280142,Bloomington,2,-1.0,20,184900,Single Family Home,2462,61705
4 Knottingham Ct,1345180,2,1,3,-1,Bloomington,2,-1.0,19,189900,Single Family Home,2887,61704
1812 Glenbridge Rd,911852,2,1,3,1280142,Bloomington,2,-1.0,13,138500,Single Family Home,2250,61704
1114 Willow Creek Dr,418519,3,1,5,1571726,Bloomington,3,-1.0,1,294900,Single Family Home,3065,61705
23 Lone Oak Ct,1279681,3,0,3,1571726,Bloomington,2,-1.0,1,189900,Single Family Home,2600,61705
1114 Willow Creek Dr,418519,3,1,5,1571726,Bloomington,3,-1.0,1,294900,Single Family Home,3065,61705
1903 Dimmitt Ct,1263684,3,1,4,1571726,Bloomington,3,-1.0,30,314900,Single Family Home,4054,61704
1307 S Center St,1101631,1,1,2,712753,Bloomington,1,-1.0,30,89000,Single Family Home,2373,61701
2018 Tracy Dr Apt 2,1265113,2,0,2,1571726,Bloomington,1,-1.0,30,68500,Condo/Townhome/Row Home/Co-Op,976,61704
14 Edvardinsh Way,1295118,2,1,3,1295017,Bloomington,2,-1.0,30,149900,Single Family Home,2196,61701
13613 Fawn Dr,1231308,2,2,3,1295017,Bloomington,4,21780.0,30,325000,Single Family Home,3080,61705
1310 Broad Creek Rd,159571,3,1,4,1571726,Bloomington,3,-1.0,30,284900,Single Family Home,3816,61704
3914 Lay Ln,7995,3,1,3,3054550,Bloomington,4,-1.0,30,349900,Single Family Home,3990,61705
1206 Janet Dr,1301728,2,1,4,1280142,Bloomington,3,-1.0,30,329000,Single Family Home,4080,61704
2001 Clearwater Ave,2202955,2,0,3,1280142,Bloomington,1,-1.0,28,160000,Single Family Home,2336,61704
601 W Chestnut St,1653754,2,0,3,1571726,Bloomington,-1,-1.0,27,129900,Single Family Home,3865,61701
10326 Old Sawmill Rd,1295084,3,0,4,1295017,Bloomington,3,43560.0,26,364900,Single Family Home,4943,61705
22 Parkshores Dr,1231308,2,1,3,1295017,Bloomington,2,-1.0,25,189900,Single Family Home,2088,61701
505 S State St,1319879,1,1,4,1571726,Bloomington,2,-1.0,20,189900,Single Family Home,2592,61701
1040 Ekstam Dr Apt 204,1984857,2,0,2,1280142,Bloomington,-1,-1.0,13,84900,Condo/Townhome/Row Home/Co-Op,975,61704
19105 Woodland Trl,1990797,2,1,4,1571726,Bloomington,3,47916.00000000001,30,399900,Single Family Home,4260,61705
121 Magoun St,1231308,1,0,2,1295017,Bloomington,2,25700.399999999998,30,110000,Single Family Home,1455,61701
3009 Winchester Dr,1345179,2,0,4,1207437,Bloomington,2,-1.0,30,154900,Single Family Home,2303,61704
2810 Reed Rd,1220379,2,1,3,1295017,Bloomington,2,-1.0,27,167900,Single Family Home,2125,61704
2701 Stratmoor Dr,2046247,3,1,5,712753,Bloomington,2,-1.0,19,205000,Single Family Home,2719,61705
1013 W Wood St,5040,2,0,3,1295017,Bloomington,2,-1.0,17,117500,Single Family Home,2828,61701
1209 N Roosevelt Ave,523649,1,0,2,1295017,Bloomington,1,-1.0,3,69900,Single Family Home,2692,61701
9306 N 1750 East Rd,964233,3,0,4,1571726,Bloomington,2,914760.0,1,369000,Single Family Home,6300,61705
10 Timberlake Rd,43657,5,1,5,1207437,Bloomington,2,-1.0,30,378500,Single Family Home,5753,61704
3215 Wisteria Ln,1263684,3,1,5,1571726,Bloomington,3,-1.0,30,434900,Single Family Home,4923,61704
2603 Rainbow Ave,881654,2,1,3,1280142,Bloomington,2,-1.0,30,174900,Single Family Home,2249,61704
21 Pembrook Cir,1295084,2,1,4,1295017,Bloomington,2,-1.0,30,194900,Single Family Home,3114,61704
3720 Helen Dr,2206294,3,1,5,1280142,Bloomington,3,-1.0,30,324900,Single Family Home,3498,61704
1302 Crown Ct,5187,3,1,5,1571726,Bloomington,3,-1.0,30,275000,Single Family Home,4296,61704
5017 Longfield Rd,192211,3,1,5,1280142,Bloomington,3,-1.0,30,314900,Single Family Home,3676,61705
1705 Sweetbriar Dr,1295106,2,1,3,1295017,Bloomington,2,-1.0,29,235000,Single Family Home,3787,61701
3 Navajo Ct,1855850,2,1,3,1280142,Bloomington,2,-1.0,28,167500,Single Family Home,2236,61704
2006 Clearwater Ave,1207570,2,0,3,1207437,Bloomington,1,-1.0,16,129900,Single Family Home,2770,61704
3503 Wegeng Dr,283157,1,0,2,1207437,Bloomington,2,-1.0,16,147990,Single Family Home,1224,61704
3514 Armstrong Dr,1653756,4,1,5,712753,Bloomington,3,-1.0,30,349997,Single Family Home,4524,61704
2821 Arrowhead Dr,4783,2,1,3,1571726,Bloomington,2,-1.0,30,215000,Single Family Home,3300,61704
20 Aspen Ct,5296,3,0,2,1571726,Bloomington,2,-1.0,30,254900,Single Family Home,3468,61704
2811 Vrooman Ct,955915,3,1,5,712753,Bloomington,3,-1.0,30,449900,Single Family Home,4384,61704
