,address,agent,baths_full,baths_half,bedrooms,broker,city,garage,lot_size,photos,price,property_type,sqft,zip_code
60,1211 N Lee St,1730158,1,0,2,712753,Bloomington,1,-1.0,14,66000,Single Family Home,1912.0,61701
61,703 S Allin St,1571756,1,0,2,712753,Bloomington,1,-1.0,10,35900,Single Family Home,1798.0,61701
62,2514 Bunn St,1548431,1,1,3,1280142,Bloomington,3,-1.0,8,95000,Single Family Home,1424.0,61704
63,1401 E Grove St,430485,2,0,3,3054550,Bloomington,2,-1.0,30,233000,Single Family Home,2724.0,61701
64,1512 Sweetbriar Dr,1295099,2,1,4,1295017,Bloomington,2,-1.0,30,299000,Single Family Home,3548.0,61701
65,1602 Myra Ln,1376376,3,1,5,1295017,Bloomington,2,-1.0,30,258800,Single Family Home,3220.0,61704
66,10 Oakland Ct,523674,2,0,3,712753,Bloomington,1,-1.0,30,157000,Single Family Home,2100.0,61701
67,3607 Ballyford Dr,7995,2,1,3,3054550,Bloomington,2,-1.0,30,169900,Single Family Home,2200.0,61704
68,5 Prairie Vista Ct,1263684,3,0,5,1571726,Bloomington,2,-1.0,28,349900,Single Family Home,3882.0,61704
69,7779 Old Peoria Rd,1263684,3,0,3,1571726,Bloomington,3,50529.6,28,224900,Single Family Home,3787.0,61705
70,1310 S Madison St,-1,1,0,3,-1,Bloomington,1,4792.0,18,103000,Single Family Home,988.0,61701
71,206 N Mason St,1193279,2,0,2,1571726,Bloomington,1,-1.0,15,45500,Single Family Home,2298.0,61701
72,303 S Morris Ave,1571756,2,0,3,712753,Bloomington,2,-1.0,9,29900,Single Family Home,2434.0,61701
73,3028 Ann Dr,2101837,3,0,3,1295017,Bloomington,2,-1.0,30,169900,Single Family Home,1953.0,61704
74,2501 Yorktown Dr,1301728,3,1,4,1280142,Bloomington,2,-1.0,30,225000,Single Family Home,2958.0,61704
75,315 Garfield Dr,1301728,2,1,4,1280142,Bloomington,2,-1.0,30,159900,Single Family Home,1835.0,61701
76,107 Ruth Rd,1416095,2,1,5,1571726,Bloomington,2,-1.0,30,209900,Single Family Home,4396.0,61701
77,3020 E Oakland Ave,2267191,3,0,3,1280142,Bloomington,3,43560.0,28,319900,Single Family Home,3444.0,61704
78,2205 Gravenhurst Dr,1855850,3,0,5,1280142,Bloomington,2,-1.0,28,192500,Single Family Home,2720.0,61705
79,3314 Barrington Rd,1222389,2,2,4,1280142,Bloomington,3,-1.0,28,244900,Single Family Home,3767.0,61704
80,12 Lone Oak Ct,523649,2,1,4,1295017,Bloomington,2,-1.0,26,188900,Single Family Home,2829.0,61705
81,1301 Mount Vernon Dr,523649,1,0,3,1295017,Bloomington,2,-1.0,23,114900,Single Family Home,1844.0,61704
82,3106 Wisteria Ln,692040,3,1,5,1295017,Bloomington,3,-1.0,30,347900,Single Family Home,4563.0,61704
83,2109 Foxtail Rd,111130,3,1,3,1207437,Bloomington,3,-1.0,30,384900,Single Family Home,5098.0,61704
84,3605 Matthew Dr,1263684,3,1,5,1571726,Bloomington,3,-1.0,27,314900,Single Family Home,3894.0,61704
85,2806 Hubbard Dr,1329957,4,1,5,1571726,Bloomington,3,-1.0,30,359900,Single Family Home,4740.0,61704
86,1107 Woodbury Pl,159571,2,0,4,1571726,Bloomington,1,-1.0,24,104900,Single Family Home,1920.0,61701
87,11 Brookline Ct,1207563,3,1,5,1207437,Bloomington,3,-1.0,23,319900,Single Family Home,3909.0,61705
88,1219 E Oakland Ave,1887422,2,0,2,1571726,Bloomington,2,-1.0,21,114900,Single Family Home,1880.0,61701
90,1306 W Wood St,1544358,2,0,3,-1,Bloomington,1,-1.0,17,85500,Single Family Home,1082.0,61701
91,9 Brookline Ct,1295089,3,1,4,1295017,Bloomington,3,-1.0,30,325000,Single Family Home,3666.0,61705
92,2207 Yarrow St,29336,3,1,4,1571726,Bloomington,3,-1.0,30,399900,Single Family Home,4389.0,61704
93,419 Willard Ave,1292818,1,1,3,1295017,Bloomington,2,-1.0,30,147900,Single Family Home,2430.0,61701
94,3103 Carrington Ln,7995,3,1,5,3054550,Bloomington,3,-1.0,30,325000,Single Family Home,4336.0,61705
95,1222 Riviera Rd,21881,2,1,3,1571726,Bloomington,2,-1.0,24,129900,Single Family Home,1969.0,61701
97,1613 Six Points Rd,2705739,1,0,4,-1,Bloomington,2,523155.6,1,289000,Single Family Home,2100.0,61701
98,2807 Park Ridge Rd,1416095,2,1,4,1571726,Bloomington,3,-1.0,30,264900,Single Family Home,4042.0,61704
99,3120 Providence Dr,7995,2,1,4,3054550,Bloomington,2,-1.0,30,223500,Single Family Home,3493.0,61704
100,5 Currie Ct,1231308,3,1,5,1295017,Bloomington,3,-1.0,30,349900,Single Family Home,4623.0,61704
101,4 Flint Ct,43657,4,1,5,1207437,Bloomington,3,-1.0,30,550000,Single Family Home,4839.0,61705
102,2402 Hillsboro Dr,1329957,2,1,4,1571726,Bloomington,3,-1.0,29,284900,Single Family Home,3899.0,61704
103,14 Foley Ave,1805631,1,0,3,1571726,Bloomington,1,-1.0,8,110000,Single Family Home,2184.0,61701
105,1710 Wildwood Rd,1301728,1,0,3,1280142,Bloomington,1,-1.0,1,89000,Single Family Home,990.0,61704
106,2803 Greenfield Rd,1117728,3,1,5,1571726,Bloomington,2,-1.0,30,289900,Single Family Home,4108.0,61704
108,608 E Mulberry St,159571,2,0,5,1571726,Bloomington,3,-1.0,30,139900,Single Family Home,3193.0,61701
109,13765 Fawn Ct,748021,3,1,5,1207437,Bloomington,3,28314.0,30,349900,Single Family Home,4470.0,61705
110,1315 Fell Ave,29336,2,1,3,1571726,Bloomington,2,-1.0,30,179900,Single Family Home,3060.0,61701
111,2501 Wirsing Way,1501366,3,0,3,3054550,Bloomington,3,-1.0,29,230000,Single Family Home,3268.0,61704
112,2914 Bardwell Rd,1231308,2,1,3,1295017,Bloomington,2,-1.0,23,212900,Single Family Home,2967.0,61704
113,404 N Robinson St,1265113,1,1,2,1571726,Bloomington,1,-1.0,21,89900,Single Family Home,1418.0,61701
114,2310 Timber View Dr,1345180,2,1,3,-1,Bloomington,2,-1.0,20,178000,Single Family Home,2900.0,61701
115,1207 Fell Ave,423198,1,1,3,-1,Bloomington,2,-1.0,19,114000,Single Family Home,3368.0,61701
116,2915 Conlor Dr,523649,2,0,3,1295017,Bloomington,2,9148.0,17,204900,Single Family Home,2926.0,61704
117,3308 Peppertree Ln,1450930,3,1,4,1571726,Bloomington,3,-1.0,30,247900,Single Family Home,3192.0,61704
118,1 Swayze Ct,1345180,3,1,4,-1,Bloomington,3,-1.0,28,304900,Single Family Home,3564.0,61705
119,2809 Kolby Ct,1237791,3,1,5,1295017,Bloomington,2,-1.0,24,254900,Single Family Home,3515.0,61704
120,1403 Winterberry Cir,1345180,3,1,5,-1,Bloomington,3,-1.0,16,349900,Single Family Home,3871.0,61705
122,601 McGregor St,7995,1,0,2,3054550,Bloomington,1,-1.0,5,45000,Single Family Home,948.0,61701
123,47 Parkshores Dr,692040,2,0,2,1295017,Bloomington,2,-1.0,30,142900,Single Family Home,1512.0,61701
124,1313 W Chestnut St,1200611,3,0,6,1571726,Bloomington,2,-1.0,30,99900,Single Family Home,3963.0,61701
125,9245 Hardesty Run,1200611,3,1,3,1571726,Bloomington,3,-1.0,30,254900,Single Family Home,3450.0,61705
126,1 Northcrest Ct,744586,4,1,3,3054550,Bloomington,2,-1.0,30,389900,Single Family Home,4722.0,61701
127,702 E Monroe St,692040,1,0,3,1295017,Bloomington,1,-1.0,25,107900,Single Family Home,2496.0,61701
128,1301 Red Abbey Ave,1231308,2,1,4,1295017,Bloomington,3,-1.0,25,275000,Single Family Home,3086.0,61705
129,102 Meadow Ridge Dr,2259541,3,0,2,1571726,Bloomington,2,-1.0,24,159000,Single Family Home,1656.0,61704
131,809 E Locust St,2046247,1,0,3,712753,Bloomington,1,-1.0,14,92500,Single Family Home,1042.0,61701
134,3112 Fiona Way,523674,4,1,6,712753,Bloomington,3,-1.0,30,409000,Single Family Home,5224.0,61704
136,7 Callahan Ct,523649,3,1,5,1295017,Bloomington,3,-1.0,30,319900,Single Family Home,3243.0,61705
137,5015 Francesco Ln,1501366,2,2,5,3054550,Bloomington,3,-1.0,30,329900,Single Family Home,3626.0,61705
138,19403 Briar Dr,1855850,4,2,5,1280142,Bloomington,4,43560.0,30,550000,Single Family Home,6505.0,61705
139,1111 W Olive St,1501366,2,0,3,3054550,Bloomington,2,-1.0,30,99500,Single Family Home,2154.0,61701
140,9402 Polaris Dr,2047335,2,1,3,712753,Bloomington,2,24829.2,29,179900,Single Family Home,2794.0,61705
141,49 Dry Sage Cir,523674,2,1,3,712753,Bloomington,2,-1.0,21,254500,Single Family Home,3238.0,61705
142,510 W Kelsey St,7995,1,0,2,3054550,Bloomington,1,-1.0,30,69000,Single Family Home,1078.0,61701
143,1613 Myra Ln,182757,3,0,4,1571726,Bloomington,3,-1.0,30,333000,Single Family Home,3712.0,61704
144,3903 Rave Rd,192211,3,1,5,1280142,Bloomington,3,-1.0,30,325000,Single Family Home,3677.0,61705
145,1606 Arrowhead Dr,7995,1,0,3,3054550,Bloomington,1,-1.0,30,95000,Single Family Home,891.0,61704
146,4115 Pump House Ln,192211,2,1,3,1280142,Bloomington,2,-1.0,20,184900,Single Family Home,2462.0,61705
147,4 Knottingham Ct,1345180,2,1,3,-1,Bloomington,2,-1.0,19,189900,Single Family Home,2887.0,61704
148,1812 Glenbridge Rd,911852,2,1,3,1280142,Bloomington,2,-1.0,13,138500,Single Family Home,2250.0,61704
149,1114 Willow Creek Dr,418519,3,1,5,1571726,Bloomington,3,-1.0,1,294900,Single Family Home,3065.0,61705
150,23 Lone Oak Ct,1279681,3,0,3,1571726,Bloomington,2,-1.0,1,189900,Single Family Home,2600.0,61705
151,1114 Willow Creek Dr,418519,3,1,5,1571726,Bloomington,3,-1.0,1,294900,Single Family Home,3065.0,61705
152,1903 Dimmitt Ct,1263684,3,1,4,1571726,Bloomington,3,-1.0,30,314900,Single Family Home,4054.0,61704
153,1307 S Center St,1101631,1,1,2,712753,Bloomington,1,-1.0,30,89000,Single Family Home,2373.0,61701
155,14 Edvardinsh Way,1295118,2,1,3,1295017,Bloomington,2,-1.0,30,149900,Single Family Home,2196.0,61701
156,13613 Fawn Dr,1231308,2,2,3,1295017,Bloomington,4,21780.0,30,325000,Single Family Home,3080.0,61705
