,address,agent,baths_full,baths_half,bedrooms,broker,city,garage,lot_size,photos,price,property_type,sqft,zip_code
250,1104 S Center St,14862,1,1,5,-1,Bloomington,1,-1.0,15,80000,Single Family Home,2537.0,61701
252,1237 Mount Vernon Dr,7995,2,0,3,3054550,Bloomington,1,-1.0,30,99900,Single Family Home,1550.0,61704
253,6 Navajo Ct,420364,3,1,4,1280142,Bloomington,2,-1.0,30,179900,Single Family Home,2450.0,61704
254,510 W Oakland Ave,470068,1,1,3,1207437,Bloomington,2,-1.0,30,77500,Single Family Home,2039.0,61701
255,1211 Willow Creek Rd,1571756,3,1,5,712753,Bloomington,3,-1.0,30,350000,Single Family Home,3670.0,61704
256,704 W Macarthur Ave,950922,1,0,3,1207437,Bloomington,1,-1.0,27,94900,Single Family Home,1840.0,61701
257,102 Van Schoick St,1571741,2,0,3,1571726,Bloomington,2,-1.0,27,134900,Single Family Home,1632.0,61701
258,814 S Mercer Ave,692040,2,1,4,1295017,Bloomington,1,-1.0,26,157900,Single Family Home,3035.0,61701
259,314 W Kelsey St,2743947,2,0,4,1280142,Bloomington,2,-1.0,21,132900,Single Family Home,3000.0,61701
261,5107 Longfield Dr,2963332,3,1,5,1571726,Bloomington,3,8712.0,30,315900,Single Family Home,3389.0,61705
262,8 Brownstone Ct,744586,2,1,4,3054550,Bloomington,3,-1.0,30,249900,Single Family Home,3264.0,61704
263,809 N Morris Ave,7995,1,1,2,3054550,Bloomington,3,-1.0,30,122000,Single Family Home,1665.0,61701
264,1306 Eastport Dr,1346837,2,1,3,1280142,Bloomington,2,-1.0,30,169900,Single Family Home,2619.0,61704
265,3114 Preston Dr,748021,2,1,4,1207437,Bloomington,2,-1.0,29,239900,Single Family Home,3648.0,61704
266,1505 Bay View Ln,1295086,2,1,4,1295017,Bloomington,2,-1.0,28,194900,Single Family Home,2950.0,61704
267,2804 Huntington Rd,692040,2,1,4,1295017,Bloomington,2,-1.0,28,249900,Single Family Home,3706.0,61704
268,1407 Ridgeport Ave,1231308,2,0,4,1295017,Bloomington,1,-1.0,28,139000,Single Family Home,2266.0,61704
269,1304 S Oak St,1221216,1,0,3,1280142,Bloomington,2,-1.0,28,87000,Single Family Home,1507.0,61701
270,1620 Martin Luther King Dr,21881,2,1,3,1571726,Bloomington,2,-1.0,17,124900,Single Family Home,1769.0,61701
271,309 Meadows Ave,921510,2,0,3,-1,Bloomington,1,6534.0,1,69900,Single Family Home,1728.0,61701
272,2201 Foxtail Rd,420364,4,1,5,1280142,Bloomington,3,-1.0,37,369900,Single Family Home,5074.0,61704
273,2104 Altoona Rd,523674,2,0,3,712753,Bloomington,2,-1.0,30,209900,Single Family Home,2964.0,61705
274,2824 Gill St,7995,2,1,3,3054550,Bloomington,2,-1.0,30,159900,Single Family Home,2486.0,61704
275,1606 Whitmer Ct,2051691,3,1,5,1295017,Bloomington,3,-1.0,30,269500,Single Family Home,3432.0,61704
276,21 Waterside Cir,71546,3,1,4,1295017,Bloomington,3,-1.0,30,339000,Single Family Home,4218.0,61704
277,1408 N Oak St,1571752,2,0,3,1571726,Bloomington,1,-1.0,29,119000,Single Family Home,1788.0,61701
278,3 Hearthstone Ct,1194148,2,1,4,-1,Bloomington,2,-1.0,25,249900,Single Family Home,3749.0,61704
279,903 W Macarthur Ave,21881,1,0,2,1571726,Bloomington,1,-1.0,24,76000,Single Family Home,1572.0,61701
280,1110 Woodbury Pl,1916027,2,0,3,1571726,Bloomington,2,-1.0,20,145000,Single Family Home,2500.0,61701
281,1313 E Oakland Ave,1956224,1,0,2,712753,Bloomington,2,-1.0,16,125000,Single Family Home,1923.0,61701
283,13 Dawes Pl,1265113,1,0,2,1571726,Bloomington,1,-1.0,30,124900,Single Family Home,1782.0,61701
284,1227 E Jefferson St,1388808,3,0,3,712753,Bloomington,4,-1.0,30,185000,Single Family Home,2699.0,61701
285,1408 Royal Pointe Dr,159571,3,1,4,1571726,Bloomington,2,-1.0,30,216999,Single Family Home,3286.0,61704
286,30 Breckenwood Ct,523674,2,1,4,712753,Bloomington,2,-1.0,29,177000,Single Family Home,2702.0,61704
287,3509 Gabby Dr,1263684,3,1,5,1571726,Bloomington,3,-1.0,28,329900,Single Family Home,4023.0,61704
288,8805 Mill Creek Rd,1193279,3,0,3,1571726,Bloomington,2,33105.6,24,184900,Single Family Home,3356.0,61705
289,2814 Rocksbury Dr,1207568,2,1,3,1207437,Bloomington,2,-1.0,10,148000,Single Family Home,2603.0,61705
290,1109 Elmwood Rd,1571754,2,1,3,1571726,Bloomington,2,-1.0,2,249900,Single Family Home,2168.0,61701
292,2804 Longmeadow Ln,1805631,2,1,4,1571726,Bloomington,2,-1.0,30,229900,Single Family Home,2747.0,61704
293,16034 Garnet Ln,1345179,3,0,4,1207437,Bloomington,3,27878.4,30,349900,Single Family Home,4736.0,61705
294,2603 Wedgewood Rd,182757,3,1,3,1571726,Bloomington,3,-1.0,30,279900,Single Family Home,4100.0,61704
295,1 Harwood Pl,1200611,2,0,3,1571726,Bloomington,2,-1.0,30,172900,Single Family Home,2208.0,61701
296,2902 Spangle Rd,5295,2,1,4,1207437,Bloomington,3,-1.0,29,227900,Single Family Home,3088.0,61705
297,1307 Challis Dr,1855850,1,1,3,1280142,Bloomington,1,-1.0,28,99900,Single Family Home,1591.0,61704
298,1201 Chatham Ln,1231308,2,1,4,1295017,Bloomington,2,-1.0,27,180000,Single Family Home,2850.0,61704
299,22 Lone Oak Ct,523649,2,1,4,1295017,Bloomington,2,-1.0,26,189900,Single Family Home,2829.0,61705
300,22 Lone Oak Ct,523649,2,1,4,1295017,Bloomington,2,-1.0,26,189900,Single Family Home,2829.0,61705
301,2806 Gill St,1990797,3,1,3,1571726,Bloomington,2,-1.0,25,159900,Single Family Home,2215.0,61704
302,1618 Keybridge Way,5184,2,1,3,3054550,Bloomington,2,-1.0,18,273900,Single Family Home,3756.0,61704
304,1503 E Grove St,2729549,2,1,4,1571726,Bloomington,2,-1.0,6,247900,Single Family Home,3082.0,61701
305,1007 N Oak St,4500,1,0,1,1571726,Bloomington,1,-1.0,21,50000,Single Family Home,2099.0,61701
306,2913 Mockingbird Ln,2046247,1,1,4,712753,Bloomington,2,-1.0,14,150000,Single Family Home,2268.0,61704
307,9075 Deer Ridge Dr,1265113,4,2,5,1571726,Bloomington,3,47044.8,30,399900,Single Family Home,6540.0,61705
308,2003 E Jackson St,7995,1,1,3,3054550,Bloomington,2,-1.0,30,159900,Single Family Home,2160.0,61701
309,1223 Broad Creek Rd,4396,3,1,5,1295017,Bloomington,3,-1.0,30,289875,Single Family Home,4032.0,61704
310,711 E Taylor St,523645,1,0,3,1280142,Bloomington,1,-1.0,29,102700,Single Family Home,2640.0,61701
311,45 Breckenwood Ct,1345180,3,1,4,-1,Bloomington,2,-1.0,26,189900,Single Family Home,2702.0,61704
312,1306 Ewing St,2258993,2,1,3,-1,Bloomington,2,-1.0,24,159000,Single Family Home,3720.0,61701
313,2214 Knollbrook Way,1220379,2,1,3,1295017,Bloomington,3,-1.0,24,364900,Single Family Home,5068.0,61705
314,1009 Gerike Way,1345180,3,0,3,-1,Bloomington,2,-1.0,20,215000,Single Family Home,3180.0,61704
315,3 Misty Ln,1987183,2,0,2,1295017,Bloomington,1,-1.0,15,179900,Single Family Home,2330.0,61705
316,2905 Spangle Rd,1855850,3,1,4,1280142,Bloomington,2,-1.0,30,255000,Single Family Home,3394.0,61705
317,21 Geneva Ct,7995,1,0,3,3054550,Bloomington,2,-1.0,30,129900,Single Family Home,1056.0,61704
318,3 Turtleback Ct,21881,4,1,5,1571726,Bloomington,3,-1.0,30,319900,Single Family Home,4422.0,61705
319,4 Treyburn Ct,21881,3,1,5,1571726,Bloomington,3,-1.0,29,324900,Single Family Home,3939.0,61704
320,3508 Zachary Ln,1345180,2,1,5,-1,Bloomington,3,-1.0,24,314900,Single Family Home,4098.0,61704
321,703 Bradley Dr,1295133,2,0,3,1295017,Bloomington,2,-1.0,9,139900,Single Family Home,2806.0,61701
322,16 Red Maple Ct,1263684,3,1,6,1571726,Bloomington,3,-1.0,1,356900,Single Family Home,4458.0,61705
323,1606 Six Points Rd,1501366,3,0,4,3054550,Bloomington,4,47916.00000000001,30,274900,Single Family Home,3546.0,61701
324,2307 Woodhavens Dr,1345180,2,0,3,-1,Bloomington,2,-1.0,28,178000,Single Family Home,3306.0,61701
326,1812 E Lafayette St,1117728,1,0,3,1571726,Bloomington,1,-1.0,23,112900,Single Family Home,1051.0,61701
328,2803 Rainbow Ave,1295094,2,1,3,1207437,Bloomington,3,-1.0,20,184900,Single Family Home,2808.0,61704
329,3410 Cornelius Dr,1319879,2,0,3,1571726,Bloomington,2,-1.0,20,145900,Single Family Home,2472.0,61704
330,811 W Grove St,1207568,2,0,3,1207437,Bloomington,2,-1.0,19,50000,Single Family Home,2843.0,61701
332,3613 Rave Rd,420364,3,1,4,1280142,Bloomington,3,-1.0,34,319900,Single Family Home,3851.0,61704
333,3301 Eagle Crest Rd,5187,2,1,4,1571726,Bloomington,3,-1.0,30,249900,Single Family Home,3638.0,61704
334,2 White Cliff Ct,523674,3,0,5,712753,Bloomington,3,22651.2,30,425000,Single Family Home,4460.0,61705
335,1 Dawes Pl,1938118,1,1,3,1207437,Bloomington,1,-1.0,28,133900,Single Family Home,2298.0,61701
336,1401 Kickapoo Creek Rd,2047335,2,1,3,712753,Bloomington,2,-1.0,22,239900,Single Family Home,2888.0,61705
337,9645 Ridgewood Ct,1105956,2,1,3,-1,Bloomington,2,-1.0,19,219900,Single Family Home,2262.0,61705
338,1601 S Center St,471011,1,0,3,1295017,Bloomington,1,-1.0,10,28900,Single Family Home,2254.0,61701
339,1503Paddington Dr,1907880,2,1,4,1207437,Bloomington,2,-1.0,30,212900,Single Family Home,3350.0,61704
340,28 Buckhurst Cir,2202955,2,1,4,1280142,Bloomington,2,-1.0,30,339000,Single Family Home,4060.0,61704
341,26 Stonehedges Ct,523674,3,1,4,712753,Bloomington,3,17424.0,30,429900,Single Family Home,9894.0,61705
342,26 Knollbrook Ct,523674,3,1,5,712753,Bloomington,3,-1.0,29,339900,Single Family Home,3941.0,61705
343,3301 Brittany Cir,1263684,3,1,4,1571726,Bloomington,3,-1.0,28,244900,Single Family Home,3627.0,61704
344,53 Vermont Ave,1495704,2,1,4,1295017,Bloomington,2,-1.0,30,165000,Single Family Home,2778.0,61701
345,117 Meadowbrook Dr,523649,1,0,3,1295017,Bloomington,1,-1.0,12,116900,Single Family Home,1102.0,61701
346,3802 Baldocchi Dr,1571756,3,1,4,712753,Bloomington,3,-1.0,30,305000,Single Family Home,3787.0,61704
347,1310 Guiness Dr,1222350,3,1,5,712753,Bloomington,3,-1.0,30,369000,Single Family Home,4027.0,61705
348,5 Greythorne Cir,7995,2,1,4,3054550,Bloomington,3,-1.0,30,255000,Single Family Home,3506.0,61704
349,2802 Stevenson Dr,1571741,4,0,6,1571726,Bloomington,3,-1.0,30,419900,Single Family Home,4497.0,61704
350,2802 Stevenson Dr,1571741,4,0,6,1571726,Bloomington,3,-1.0,30,419900,Single Family Home,4497.0,61704
351,2818 Huntington Rd,283157,3,1,4,1207437,Bloomington,2,-1.0,26,259999,Single Family Home,3663.0,61704
352,308 Maizefield Ave,1193279,1,0,2,1571726,Bloomington,1,-1.0,15,84900,Single Family Home,702.0,61701
353,3101 Fiona Way,1231308,4,1,6,1295017,Bloomington,3,-1.0,30,699900,Single Family Home,5982.0,61704
354,1816 E Lafayette St,7995,1,0,3,3054550,Bloomington,1,-1.0,30,123900,Single Family Home,1190.0,61701
355,17 Sable Oaks Ct,523674,4,1,5,712753,Bloomington,3,26571.6,30,450000,Single Family Home,5929.0,61704
356,209 Fleetwood Dr,7995,3,1,4,3054550,Bloomington,2,-1.0,30,220000,Single Family Home,3100.0,61701
357,3624 Pamela Dr,1887425,3,1,5,1280142,Bloomington,3,-1.0,27,375000,Single Family Home,3312.0,61704
358,1009 Bach Dr,911852,3,1,4,1280142,Bloomington,3,-1.0,4,279900,Single Family Home,2899.0,61704
359,5006 Longfield Rd,1374072,3,1,5,1571726,Bloomington,3,-1.0,30,319900,Single Family Home,3333.0,61705
360,57 Pebblebrook Ct,1346837,4,1,5,1280142,Bloomington,3,15681.6,30,499900,Single Family Home,3779.0,61705
361,11 Rock Garden Ct,1501366,3,1,4,3054550,Bloomington,2,-1.0,30,259900,Single Family Home,3070.0,61704
362,19704 Newgate St,1231308,3,1,5,1295017,Bloomington,2,-1.0,30,300000,Single Family Home,4110.0,61705
363,15852 Kingswood Dr,881654,3,0,3,1280142,Bloomington,2,31798.8,28,199900,Single Family Home,3080.0,61705
364,508 E Olive St,2202955,1,0,3,1280142,Bloomington,1,-1.0,14,60000,Single Family Home,1820.0,61701
366,4011 Sutter Rd,911852,3,1,5,1280142,Bloomington,3,-1.0,5,449900,Single Family Home,3854.0,61705
367,3101 Sable Oaks Rd,1193279,3,1,5,1571726,Bloomington,3,-1.0,1,297900,Single Family Home,4370.0,61704
373,3912 Baywood Rd,1329957,2,1,4,1571726,Bloomington,3,-1.0,30,319900,Single Family Home,4960.0,61705
374,1315 Winterberry Cir,921514,3,1,5,1280142,Bloomington,3,10454.4,30,389500,Single Family Home,3596.0,61705
375,802 W Oakland Ave,523649,1,1,4,1295017,Bloomington,1,-1.0,29,99900,Single Family Home,2505.0,61701
376,1216 S Oak St,430485,1,0,2,3054550,Bloomington,1,-1.0,27,59000,Single Family Home,804.0,61701
378,1212 N Roosevelt Ave,523674,1,0,2,712753,Bloomington,1,-1.0,15,82500,Single Family Home,1972.0,61701
379,305 S McLean St,15043,1,0,3,1295017,Bloomington,1,-1.0,14,79900,Single Family Home,3144.0,61701
381,11 Ivey Ct,1548431,1,1,3,1280142,Bloomington,1,-1.0,27,128500,Single Family Home,2016.0,61701
382,3104 Bristol Dr,1646092,2,1,4,3054550,Bloomington,2,-1.0,30,234900,Single Family Home,4000.0,61704
383,805 Lake Fork Rd,1222389,3,1,4,1280142,Bloomington,2,-1.0,27,167000,Single Family Home,3062.0,61704
384,1403 N Oak St,1704314,1,0,3,712753,Bloomington,2,-1.0,11,89900,Single Family Home,1396.0,61701
387,23 Palm Ct,5184,2,1,3,3054550,Bloomington,2,-1.0,1,179900,Single Family Home,2611.0,61701
388,8 Deerfield Ct,7995,3,1,4,3054550,Bloomington,3,-1.0,30,274900,Single Family Home,3604.0,61705
390,3403 Castlemain Dr,591989,3,1,4,1280142,Bloomington,2,-1.0,43,225000,Single Family Home,3127.0,61704
392,1908 Oakwood Ave,1301728,3,1,4,1280142,Bloomington,2,-1.0,30,229900,Single Family Home,4149.0,61704
393,9101 N 1900 East Rd,523674,2,1,5,712753,Bloomington,3,152460.0,30,439900,Single Family Home,4392.0,61705
394,1301 Janet Dr,1855850,3,1,5,1280142,Bloomington,3,-1.0,30,420000,Single Family Home,4465.0,61704
395,304 S Hershey Rd,5040,2,2,4,1295017,Bloomington,2,-1.0,30,175000,Single Family Home,4454.0,61704
396,63 Astoria Way,937250,2,0,2,1295017,Bloomington,2,-1.0,30,139900,Single Family Home,1792.0,61704
397,1408 Broad Creek Rd,43657,3,1,3,1207437,Bloomington,3,-1.0,30,309500,Single Family Home,3988.0,61704
398,203 W Emerson St,1231308,2,1,4,1295017,Bloomington,2,-1.0,29,129000,Single Family Home,3476.0,61701
399,3913 Brookline Ln,425443,3,1,5,1571726,Bloomington,3,-1.0,22,274900,Single Family Home,4078.0,61705
400,1202 Prairie Ln,860512,1,0,3,712753,Bloomington,2,-1.0,14,119900,Single Family Home,1223.0,61701
401,26 Inglewood Ln,7995,2,1,3,3054550,Bloomington,2,-1.0,30,279000,Single Family Home,3188.0,61704
402,4 Willowbend Ct,65952,2,1,5,1571726,Bloomington,3,-1.0,30,241900,Single Family Home,3920.0,61705
403,704 S Moore St,1222389,3,1,4,1280142,Bloomington,3,-1.0,30,364900,Single Family Home,3780.0,61701
404,2504 Piney Run,6449,3,1,5,1571726,Bloomington,2,-1.0,30,299990,Single Family Home,4290.0,61705
406,19417 Lakewood Dr,7995,2,1,4,3054550,Bloomington,3,24393.6,30,265000,Single Family Home,3442.0,61705
407,1217 N Oak St,2986569,1,0,2,1571726,Bloomington,1,-1.0,27,93000,Single Family Home,1730.0,61701
408,1114 W Macarthur Ave,423198,2,1,3,-1,Bloomington,1,-1.0,17,83000,Single Family Home,1453.0,61701
409,17 Buckhurst,22772,3,1,4,1295017,Bloomington,3,-1.0,30,329900,Single Family Home,4571.0,61704
410,34 Ravenwood Cir,1279681,2,1,4,1571726,Bloomington,2,-1.0,28,229900,Single Family Home,3678.0,61704
413,1925 Dunraven Rd,670891,2,0,2,1571726,Bloomington,2,-1.0,13,239000,Single Family Home,3320.0,61704
414,1205 N Madison St,-1,1,1,2,-1,Bloomington,1,-1.0,4,108500,Single Family Home,1612.0,61701
415,1116 Staghorne Way,418519,3,1,5,1571726,Bloomington,3,-1.0,1,339900,Single Family Home,3519.0,61705
416,30 Knollbrook Ct,1295099,3,1,5,1295017,Bloomington,3,-1.0,29,349900,Single Family Home,5201.0,61705
417,816 E Walnut St,1440709,1,0,2,712753,Bloomington,2,-1.0,26,87500,Single Family Home,1210.0,61701
419,1301 Cadwell Dr,486538,1,1,3,-1,Bloomington,2,-1.0,14,132900,Single Family Home,1465.0,61704
420,606 N East St,578141,2,0,4,1295017,Bloomington,1,-1.0,1,30900,Single Family Home,3172.0,61701
421,210 Orleans Dr,1365275,3,0,3,1207437,Bloomington,2,-1.0,30,214900,Single Family Home,4216.0,61701
422,3007 Ridge Crest Dr,4396,2,1,4,1295017,Bloomington,2,-1.0,30,209900,Single Family Home,3221.0,61704
423,2517 Timber View Dr,1231308,3,1,4,1295017,Bloomington,3,-1.0,30,174900,Single Family Home,2950.0,61701
424,304 Granada Rd,1231308,3,0,4,1295017,Bloomington,2,-1.0,30,175000,Single Family Home,3447.0,61701
425,1411 Norma Dr,523649,3,1,4,1295017,Bloomington,3,-1.0,28,250000,Single Family Home,3308.0,61704
427,512 Seminary Ave,5040,1,0,3,1295017,Bloomington,1,-1.0,16,57400,Single Family Home,1413.0,61701
431,11 Buckingham Ct,1319879,2,1,4,1571726,Bloomington,2,-1.0,30,220000,Single Family Home,4495.0,61704
432,1306 Tearose Ln,1824976,3,1,4,1571726,Bloomington,2,-1.0,30,219900,Single Family Home,3468.0,61704
433,2005 Gailey Ln,1295113,3,1,5,1295017,Bloomington,3,-1.0,27,379000,Single Family Home,4481.0,61704
434,607 Bradley Dr,523649,2,2,6,1295017,Bloomington,1,-1.0,13,149900,Single Family Home,3960.0,61701
435,1409 N Oak St,591989,2,0,3,1280142,Bloomington,1,-1.0,26,95000,Single Family Home,2473.0,61701
436,2503 Blarney Stone Ln,1571761,2,2,4,1571726,Bloomington,2,-1.0,23,249999,Single Family Home,3461.0,61704
437,1202 Eastholme Ave,803691,1,0,2,1295017,Bloomington,2,-1.0,12,104900,Single Family Home,2040.0,61701
438,19292 Oakwood Dr,21881,2,1,4,1571726,Bloomington,3,22215.6,30,249000,Single Family Home,2958.0,61705
439,2501 Keystone Rd,21881,3,1,4,1571726,Bloomington,3,-1.0,29,239900,Single Family Home,4252.0,61704
440,1020 Doral Dr,1416095,3,1,2,1571726,Bloomington,2,-1.0,23,129900,Single Family Home,1800.0,61701
441,906 N Mason St,758933,1,0,2,-1,Bloomington,1,3485.0,13,39900,Single Family Home,978.0,61701
442,2004 Trotter Ln,5040,3,0,4,1295017,Bloomington,3,-1.0,30,429900,Single Family Home,4480.0,61704
443,1109 Longford Ln,881654,3,1,5,1280142,Bloomington,3,-1.0,30,275000,Single Family Home,3564.0,61704
444,47 White Pl,860512,2,1,5,712753,Bloomington,2,-1.0,30,199900,Single Family Home,4000.0,61701
445,19287 Inverness Ct,111130,3,1,4,1207437,Bloomington,3,-1.0,30,388500,Single Family Home,5062.0,61705
446,63 Brookshire Grn,7995,3,1,4,3054550,Bloomington,2,-1.0,30,179000,Single Family Home,2688.0,61704
447,11 Richwood Trl,1194290,2,0,2,1571726,Bloomington,2,-1.0,24,181900,Single Family Home,2186.0,61701
448,66 Fedor Cir,1231308,3,0,5,1295017,Bloomington,3,-1.0,30,275000,Single Family Home,3684.0,61705
449,5 Paul Ct,1571752,2,0,4,1571726,Bloomington,1,-1.0,30,182000,Single Family Home,2345.0,61701
450,19528 Briar Dr,1118829,3,1,4,1571726,Bloomington,3,50529.6,30,559900,Single Family Home,6308.0,61705
451,1212 Elmwood Rd,744586,4,1,5,3054550,Bloomington,3,-1.0,30,449900,Single Family Home,5258.0,61701
453,611 E Taylor St,2269057,2,0,3,1280142,Bloomington,1,-1.0,16,129900,Single Family Home,2761.0,61701
454,14 Aspen Ct,921514,2,0,2,1280142,Bloomington,2,-1.0,30,227300,Single Family Home,3809.0,61704
456,40 Boardwalk Cir,1207563,2,1,3,1207437,Bloomington,2,-1.0,17,155000,Single Family Home,2205.0,61701
457,2512 Blarney Stone Ln,1231308,2,1,4,1295017,Bloomington,3,-1.0,1,240000,Single Family Home,3232.0,61704
458,16060 Dorado Rd,1231308,2,1,4,1295017,Bloomington,2,36590.4,25,309900,Single Family Home,3728.0,61705
459,815 W Grove St,2975897,1,0,3,1280142,Bloomington,1,-1.0,28,58000,Single Family Home,1056.0,61701
460,5108 Longfield Rd,283157,3,1,6,1207437,Bloomington,3,-1.0,25,309999,Single Family Home,3183.0,61705
461,2001 Woodhavens Dr,1345180,3,0,3,-1,Bloomington,2,-1.0,16,139900,Single Family Home,2320.0,61701
462,2404 Anchor Dr,7995,1,0,3,3054550,Bloomington,1,-1.0,30,122500,Single Family Home,2164.0,61704
463,907 N Morris Ave,1501366,1,0,2,3054550,Bloomington,2,-1.0,30,94900,Single Family Home,2136.0,61701
464,13552 Buck Rd,1279681,3,1,4,1571726,Bloomington,3,-1.0,27,329900,Single Family Home,4773.0,61705
465,3502 Glenmore Rd,21881,4,0,4,1571726,Bloomington,2,-1.0,26,194900,Single Family Home,3436.0,61704
466,207 Brigham School Rd,2269057,3,0,3,1280142,Bloomington,4,-1.0,25,190900,Single Family Home,2204.0,61704
467,1005 Park St,392860,2,0,4,1207437,Bloomington,2,-1.0,24,159900,Single Family Home,3540.0,61701
468,4 Berenz Pl,875746,2,0,3,712753,Bloomington,1,-1.0,21,120000,Single Family Home,3246.0,61701
469,705 W Market Ter,1226587,1,1,5,1226871,Bloomington,1,7841.0,12,27900,Single Family Home,1908.0,61701
470,2816 Conlor Dr,523649,2,0,3,1295017,Bloomington,2,-1.0,1,214500,Single Family Home,3008.0,61704
472,2503 Riverwoods Ln,1231308,4,1,5,1295017,Bloomington,3,-1.0,30,369800,Single Family Home,4185.0,61705
474,8592 Blooming Grove Rd,1622809,2,1,3,712753,Bloomington,2,30927.6,30,192900,Single Family Home,3288.0,61705
475,1201 Staghorne Way,1263684,3,1,5,1571726,Bloomington,3,-1.0,28,339900,Single Family Home,3678.0,61705
476,1112 Staghorne Way,1263684,3,1,6,1571726,Bloomington,3,-1.0,27,356900,Single Family Home,4458.0,61705
477,1802 Vladimir Dr,955915,2,1,3,712753,Bloomington,2,-1.0,27,154900,Single Family Home,2355.0,61704
478,1205 Willow Creek Dr,911852,3,1,5,1280142,Bloomington,3,-1.0,29,314500,Single Family Home,3190.0,61705
479,13806 Rengel Dr,425443,2,0,3,1571726,Bloomington,2,24393.6,28,175900,Single Family Home,3004.0,61705
480,2014 E Taylor St,1117728,2,0,5,1571726,Bloomington,2,-1.0,28,217000,Single Family Home,3176.0,61701
481,11 Windsong Way,1301728,4,2,5,1280142,Bloomington,4,-1.0,30,475000,Single Family Home,6942.0,61704
482,504 W Stewart St,192211,2,0,3,1280142,Bloomington,2,-1.0,29,117900,Single Family Home,2212.0,61701
484,2 Northcrest Ct,159571,4,1,5,1571726,Bloomington,3,20908.8,30,785000,Single Family Home,5821.0,61701
485,3311 Stonebridge Dr,1231308,3,1,5,1295017,Bloomington,3,-1.0,30,225000,Single Family Home,3218.0,61704
486,3506 Connie Kay Way,1571741,3,1,5,1571726,Bloomington,3,-1.0,30,339000,Single Family Home,4058.0,61704
487,12 Smokey Ct,7995,3,1,5,3054550,Bloomington,3,-1.0,30,589900,Single Family Home,6079.0,61704
488,2509 Stelt Dr,7995,3,1,5,3054550,Bloomington,3,-1.0,30,249900,Single Family Home,3082.0,61705
489,19179 Briar Dr,111130,3,1,4,1207437,Bloomington,2,-1.0,30,299000,Single Family Home,5000.0,61705
490,3917 Brookline Ln,1193279,3,1,5,1571726,Bloomington,3,-1.0,30,319900,Single Family Home,3812.0,61705
491,22 Derby Way,1263684,4,1,5,1571726,Bloomington,3,-1.0,29,439900,Single Family Home,5582.0,61704
492,601 Chelsea Dr,2047335,3,1,4,712753,Bloomington,3,-1.0,28,299000,Single Family Home,4192.0,61704
493,1303 Cadwell Dr,1295099,1,1,3,1295017,Bloomington,2,-1.0,26,124500,Single Family Home,1352.0,61704
496,1304 Tearose Ln,1376376,2,1,4,1295017,Bloomington,2,-1.0,30,239900,Single Family Home,3842.0,61704
497,2403 Savanna Rd,515817,3,1,5,1207437,Bloomington,2,-1.0,29,259900,Single Family Home,4251.0,61705
498,15 Cloverhill Cir,21881,3,2,4,1571726,Bloomington,3,-1.0,27,324900,Single Family Home,3964.0,61705
499,14384 N 900 East Rd,14862,3,0,3,-1,Bloomington,2,1306800.0,30,460000,Single Family Home,3094.0,61705
500,11 Chloe Ct,955915,4,1,5,712753,Bloomington,3,-1.0,30,519900,Single Family Home,5605.0,61704
501,3 Harbor Pointe Ct,1207554,2,1,4,3054550,Bloomington,2,-1.0,29,234900,Single Family Home,2928.0,61704
502,810 E Empire St,1221216,2,0,2,1280142,Bloomington,2,-1.0,26,99000,Single Family Home,1988.0,61701
503,19071 Meander Way,1220379,2,1,3,1295017,Bloomington,2,51836.4,21,265000,Single Family Home,3742.0,61705
504,3018 Joseph St,1231308,1,0,4,1295017,Bloomington,1,-1.0,25,89900,Single Family Home,1081.0,61704
505,209 Packard St,1295094,1,1,3,1207437,Bloomington,1,-1.0,19,89900,Single Family Home,2944.0,61701
506,2213 Ridge Creek Dr,921514,3,0,4,1280142,Bloomington,3,12196.8,30,314900,Single Family Home,3997.0,61705
508,1502 Dover Rd,420364,2,1,4,1280142,Bloomington,2,10890.0,36,187000,Single Family Home,2826.0,61704
509,1110 S Lee St,14862,1,0,2,-1,Bloomington,1,-1.0,24,66000,Single Family Home,1308.0,61701
510,19432 Mallingham Way,1805631,4,1,8,1571726,Bloomington,3,40946.4,30,298900,Single Family Home,4110.0,61705
511,622 Hannah St,7995,1,0,2,3054550,Bloomington,2,-1.0,30,95000,Single Family Home,1710.0,61701
512,7 Yukon Cir,1329957,3,1,4,1571726,Bloomington,2,-1.0,30,259900,Single Family Home,3576.0,61705
513,825 E Jefferson St,1231308,2,0,4,1295017,Bloomington,1,-1.0,29,119000,Single Family Home,3750.0,61701
514,2202 Ridge Creek Dr,523674,2,1,3,712753,Bloomington,3,-1.0,28,265000,Single Family Home,3672.0,61705
516,907 W Washington St,494617,2,0,5,1571726,Bloomington,1,-1.0,18,109900,Single Family Home,1932.0,61701
518,2511 Driftwood Rd,744586,3,1,4,3054550,Bloomington,3,-1.0,30,389900,Single Family Home,5375.0,61704
519,3913 Baywood Rd,1329957,3,1,5,1571726,Bloomington,3,-1.0,30,329900,Single Family Home,4397.0,61705
520,14520 Redstone Cir,1548431,2,1,3,1280142,Bloomington,2,40946.4,30,190000,Single Family Home,2200.0,61705
521,1120 Willow Creek Dr,1263684,3,1,7,1571726,Bloomington,3,-1.0,29,394900,Single Family Home,4458.0,61705
522,3404 Stephanie Rd,480854,4,0,5,-1,Bloomington,3,16117.2,25,429900,Single Family Home,4030.0,61704
